text,category,priority
"Two people are injured in a road accident. One person appears unconscious and immediate help is required.","Road Accident","HIGH"
"Head-on collision between a bus and car on highway, passengers trapped inside vehicle","Road Accident","CRITICAL"
"Motorcycle crashed into road divider, biker bleeding from head on main avenue","Road Accident","HIGH"
"Auto rickshaw overturned after hit and run, three people injured on ring road","Road Accident","HIGH"
"Multi vehicle pileup on expressway due to dense fog, ambulances needed urgently","Road Accident","CRITICAL"
"Cyclist knocked down by speeding truck, serious leg fracture and bleeding","Road Accident","HIGH"
"Car skid off the bridge into ditch, driver stuck inside car needing extraction","Road Accident","HIGH"
"Minor fender bender bumper collision near traffic signal, traffic blocked","Road Accident","LOW"
"Pedestrian struck while crossing pedestrian crossing, bystander calling for ambulance","Road Accident","HIGH"
"Truck flipped over carrying heavy load, blocking all lanes of arterial highway","Road Accident","MEDIUM"
"Scooter slipped on wet greasy asphalt, rider suffering knee and elbow trauma","Road Accident","MEDIUM"
"Speeding SUV rammed into street light pole, airbags deployed and driver dazed","Road Accident","HIGH"
"Huge fire broke out in chemical factory warehouse, thick black toxic smoke billowing","Fire","CRITICAL"
"Apartment building third floor on fire, people shouting for help from balconies","Fire","CRITICAL"
"Commercial kitchen LPG cylinder blast with raging flames spreading to shops","Fire","CRITICAL"
"Electrical transformer exploded with sparks and caught fire near residential area","Fire","HIGH"
"Short circuit ignited curtain fire in office tower, fire alarms sounding","Fire","HIGH"
"Garbage dump fire spreading toward parked vehicles and slum settlement","Fire","MEDIUM"
"Wildfire dry grass bush fire spreading rapidly toward village houses","Fire","HIGH"
"Vehicle engine caught fire on flyover, flames visible from bonnet","Fire","HIGH"
"Small trash can burning behind shopping complex, smoke noticed","Fire","LOW"
"Fireworks factory caught fire with continuous loud explosions","Fire","CRITICAL"
"Elderly man experiencing severe chest pain and breathlessness, suspected cardiac arrest","Medical Emergency","CRITICAL"
"Person collapsed suddenly on subway platform, pulse very weak, CPR required","Medical Emergency","CRITICAL"
"Pregnant woman in advanced labor experiencing acute distress and complications","Medical Emergency","HIGH"
"Child choked on small toy object, turning blue, cannot breathe","Medical Emergency","CRITICAL"
"Severe diabetic shock with unconscious patient, blood sugar dangerously low","Medical Emergency","HIGH"
"Worker fell from construction scaffolding 15 feet high, back injury cannot move","Medical Emergency","CRITICAL"
"Severe anaphylactic allergic reaction with throat swelling and breathing difficulty","Medical Emergency","CRITICAL"
"Person suffering high fever with recurring epileptic seizures and convulsions","Medical Emergency","HIGH"
"Heavy profuse arterial bleeding from industrial machinery deep laceration cut","Medical Emergency","CRITICAL"
"Heat stroke victim dizzy and fainting in extreme afternoon summer temperature","Medical Emergency","MEDIUM"
"River water overflowed banks, entire residential colony submerged in 4 feet water","Flood","CRITICAL"
"Flash flood swept through low lying area, families stranded on rooftops","Flood","CRITICAL"
"Severe waterlogging entering ground floor houses, electrical shock risk","Flood","HIGH"
"Drainage canal breached, muddy water gushing into school compound","Flood","HIGH"
"Underpass flooded completely, two cars submerged with occupants inside","Flood","CRITICAL"
"Monsoon torrential downpour causing severe inundation across key roads","Flood","MEDIUM"
"Reservoir dam gates opened, downstream riverside settlements need immediate evacuation","Flood","HIGH"
"Strong tremors felt, multi storey building cracked and structural columns damaged","Earthquake","CRITICAL"
"Old brick building collapsed following earthquake tremors, people trapped under debris","Earthquake","CRITICAL"
"Massive earthquake shaking caused power outages and wall collapses","Earthquake","CRITICAL"
"Aftershocks causing panic, plaster falling from ceilings and minor wall fissures","Earthquake","MEDIUM"
"Bridge surface cracked severely after seismic shock, dangerous for transit","Earthquake","HIGH"
"8-year-old child missing from public park wearing blue shirt and yellow cap","Missing Person","HIGH"
"75-year-old elderly Alzheimer patient wandered away from home this morning","Missing Person","HIGH"
"Teenage girl did not return home from tuition classes, phone switched off","Missing Person","HIGH"
"Toddler disappeared from crowded market festival fair, parents panicking","Missing Person","CRITICAL"
"Hiker lost on mountain trail since sunset, no mobile network signal","Missing Person","HIGH"
"Armed robbery in progress at jewelry shop, two masked men with weapons","Crime/Safety","CRITICAL"
"Physical assault and brawl outside bar, person injured with blunt weapon","Crime/Safety","HIGH"
"Woman being stalked and harassed by group of men near dark alleyway","Crime/Safety","HIGH"
"Vandalism and mob stone pelting damaging public buses and storefronts","Crime/Safety","HIGH"
"Snatching of bag and gold chain by bike riders, victim injured in fall","Crime/Safety","MEDIUM"
"Suspicious unattended black bag with wires found at railway station bench","Crime/Safety","CRITICAL"
"Stray dog pack attacking pedestrians near apartment garbage bins","Other","MEDIUM"
"Large tree uprooted during storm fell on overhead electricity cables","Other","HIGH"
"Deep open manhole on dark road posing fatal hazard for two wheelers","Other","MEDIUM"
"Gas pipeline smell leak detected near municipal water tank pump house","Other","HIGH"
"Water supply pipeline burst flooding street with clean drinking water","Other","LOW"
